id;pid;t_start;t_wallclock;t_process;score;pipeline;error;parent0;parent1;origin
19010adf-3cfe-4f96-ad7d-fc38ce5d253a;10048;2023-07-04 17:23:03,986192;2.226020574569702;2.640625;(-0.19008802729323787, -3);LogisticRegression(MaxAbsScaler(StandardScaler(data)), LogisticRegression.C=1.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
6018c798-30ad-451c-bbbf-3dcbce5b56b0;15944;2023-07-04 17:23:03,984192;3.0892302989959717;4.78125;(-0.42269738085496744, -2);LogisticRegression(MinMaxScaler(data), LogisticRegression.C=0.5, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
bedbbb4f-a938-4651-95be-4fc2479a8b7e;6272;2023-07-04 17:23:03,985191;3.3702940940856934;4.515625;(-0.04692860958996877, -1);LogisticRegression(data, LogisticRegression.C=25.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
30506d03-21f9-42db-b125-6e2ed2c7af0e;18692;2023-07-04 17:23:03,986192;5.784947633743286;6.484375;(-0.1318208606417362, -3);ExtraTreesClassifier(PCA(SelectFwe(data, SelectFwe.alpha=0.03, SelectFwe.score_func=f_classif), PCA.iterated_power=4, PCA.svd_solver='randomized'), ExtraTreesClassifier.bootstrap=False, ExtraTreesClassifier.criterion='entropy', ExtraTreesClassifier.max_features=0.9500000000000001, min_samples_leaf=1, min_samples_split=2, ExtraTreesClassifier.n_estimators=100);None;;;unknown
d9f48f70-2bee-439b-8913-6c2699109fcb;168;2023-07-04 17:23:03,986192;12.539629936218262;12.390625;(-3.8975108317124865, -2);GradientBoostingClassifier(Normalizer(data, Normalizer.norm='max'), GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=3, GradientBoostingClassifier.max_features=0.5, GradientBoostingClassifier.min_samples_leaf=11, GradientBoostingClassifier.min_samples_split=9, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=0.05);None;;;unknown
f2778720-3938-4e95-ae31-92cc21930fe8;168;2023-07-04 17:23:16,656851;2.8752424716949463;3.25;(-2.144979108407324, -2);LogisticRegression(MaxAbsScaler(data), LogisticRegression.C=0.001, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
a3653bca-5273-4195-87a7-7c5c08d3d0f1;10988;2023-07-04 17:23:03,986192;17.59488606452942;17.515625;(-0.0942047710415725, -1);GradientBoostingClassifier(data, GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=4, GradientBoostingClassifier.max_features=0.05, GradientBoostingClassifier.min_samples_leaf=12, GradientBoostingClassifier.min_samples_split=12, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=0.6000000000000001);None;;;unknown
27e14762-17d2-4b4a-bee6-0b6d411cfd50;15944;2023-07-04 17:23:07,075423;15.969489336013794;36.21875;(-0.02452992901098153, -3);LogisticRegression(Normalizer(PolynomialFeatures(data, PolynomialFeatures.degree=2, PolynomialFeatures.include_bias=False, PolynomialFeatures.interaction_only=False), Normalizer.norm='max'), LogisticRegression.C=25.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
509f1f21-e5b0-41f1-bdf8-ee1e53b26b08;10988;2023-07-04 17:23:21,811129;19.80169439315796;45.71875;(-0.11568782422216821, -3);LogisticRegression(RBFSampler(SelectPercentile(data, SelectPercentile.percentile=38, SelectPercentile.score_func=f_classif), RBFSampler.gamma=0.8500000000000001), LogisticRegression.C=20.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
2d373702-5734-42d7-bffc-bb8ab855c6b7;8640;2023-07-04 17:23:03,986192;44.409748792648315;101.84375;(-0.03332950115419515, -3);LogisticRegression(PolynomialFeatures(RobustScaler(data), PolynomialFeatures.degree=2, PolynomialFeatures.include_bias=False, PolynomialFeatures.interaction_only=False), LogisticRegression.C=1.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
b6a595f1-81f3-4343-a472-3422fc40a3f1;10196;2023-07-04 17:23:03,985191;44.743330240249634;44.46875;(-0.07077666547162317, -2);GradientBoostingClassifier(MaxAbsScaler(data), GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=7, GradientBoostingClassifier.max_features=0.1, GradientBoostingClassifier.min_samples_leaf=19, GradientBoostingClassifier.min_samples_split=12, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=0.8500000000000001);None;;;unknown
8aa69567-1ce6-4235-aa76-bf098ce8fd16;10196;2023-07-04 17:23:49,027588;0.0200040340423584;0.015625;(-inf, -2);MultinomialNB(Normalizer(data, Normalizer.norm='max'), alpha=0.1, fit_prior=False);<class 'ValueError'> Negative values in data passed to MultinomialNB (input X);;;unknown
eaea5934-43d7-4d17-bb40-3d674c43b53b;10048;2023-07-04 17:23:06,214213;75.89344573020935;71.015625;(-0.08899599938862449, -1);GradientBoostingClassifier(data, GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=9, GradientBoostingClassifier.max_features=0.1, GradientBoostingClassifier.min_samples_leaf=6, GradientBoostingClassifier.min_samples_split=19, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=1.0);None;;;unknown
75027cce-fd39-4cfe-ab6a-baa43be1eed1;10048;2023-07-04 17:24:22,429710;1.736018419265747;1.75;(-0.44864380979958973, -3);ExtraTreesClassifier(SelectPercentile(RobustScaler(data), SelectPercentile.percentile=39, SelectPercentile.score_func=f_classif), ExtraTreesClassifier.bootstrap=True, ExtraTreesClassifier.criterion='entropy', ExtraTreesClassifier.max_features=0.7500000000000001, min_samples_leaf=19, min_samples_split=18, ExtraTreesClassifier.n_estimators=100);None;;;unknown
3bba256c-76a3-422f-a339-42bb9cfd685f;10196;2023-07-04 17:23:49,053594;36.60592555999756;36.4375;(-0.06935229355185847, -1);GradientBoostingClassifier(data, GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=6, GradientBoostingClassifier.max_features=0.1, GradientBoostingClassifier.min_samples_leaf=17, GradientBoostingClassifier.min_samples_split=8, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=0.7500000000000001);None;;;unknown
62077cd0-563d-483c-b53a-09dfecd1dfa4;10196;2023-07-04 17:24:25,877569;2.7371604442596436;9.046875;(-0.05226197659025404, -3);LogisticRegression(SelectFwe(PCA(data, PCA.iterated_power=2, PCA.svd_solver='randomized'), SelectFwe.alpha=0.019, SelectFwe.score_func=f_classif), LogisticRegression.C=15.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
1cb3f781-d5a0-4420-9ba6-e4ccf4f9b036;10196;2023-07-04 17:24:28,625732;1.662912130355835;5.40625;(-0.3955495704080524, -2);ExtraTreesClassifier(Nystroem(data, Nystroem.gamma=0.4, Nystroem.kernel='linear', Nystroem.n_components=9), ExtraTreesClassifier.bootstrap=False, ExtraTreesClassifier.criterion='entropy', ExtraTreesClassifier.max_features=0.6500000000000001, min_samples_leaf=11, min_samples_split=17, ExtraTreesClassifier.n_estimators=100);None;;;unknown
f1b73c6a-8a33-4ec6-94e7-f4cd4c1d4a7d;8640;2023-07-04 17:23:48,397941;42.49984097480774;42.65625;(-0.19456322134913928, -2);ExtraTreesClassifier(PolynomialFeatures(data, PolynomialFeatures.degree=2, PolynomialFeatures.include_bias=False, PolynomialFeatures.interaction_only=False), ExtraTreesClassifier.bootstrap=True, ExtraTreesClassifier.criterion='entropy', ExtraTreesClassifier.max_features=0.9500000000000001, min_samples_leaf=6, min_samples_split=19, ExtraTreesClassifier.n_estimators=100);None;;;unknown
11345842-9dd9-42e7-96c8-b5f688804b93;6272;2023-07-04 17:23:07,357486;84.88761115074158;78.59375;(-0.07960325087491624, -1);GradientBoostingClassifier(data, GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=3, GradientBoostingClassifier.max_features=0.45, GradientBoostingClassifier.min_samples_leaf=13, GradientBoostingClassifier.min_samples_split=3, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=0.9500000000000001);None;;;unknown
3b8c84c4-9f4e-43b4-8c62-c9273818f380;6272;2023-07-04 17:24:32,461159;0.03100752830505371;0.03125;(-inf, -2);LogisticRegression(SelectFwe(data, SelectFwe.alpha=0.047, SelectFwe.score_func=f_classif), LogisticRegression.C=0.0001, LogisticRegression.dual=True, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');<class 'ValueError'> Solver lbfgs supports only dual=False, got dual=True;;;unknown
922b979d-08ad-4714-98d2-e7dc492f08f5;8640;2023-07-04 17:24:30,930789;1.5983848571777344;6.015625;(-0.19288839655810044, -3);KNeighborsClassifier(PCA(StandardScaler(data), PCA.iterated_power=1, PCA.svd_solver='randomized'), KNeighborsClassifier.n_neighbors=41, KNeighborsClassifier.p=2, KNeighborsClassifier.weights='uniform');None;;;unknown
ced5145f-12a3-457d-8930-5ea625808843;8640;2023-07-04 17:24:32,577185;0.749168872833252;0.8125;(-1.4413644841920235, -1);DecisionTreeClassifier(data, DecisionTreeClassifier.criterion='entropy', DecisionTreeClassifier.max_depth=9, min_samples_leaf=16, min_samples_split=12);None;;;unknown
7384be74-2a61-4e9d-99aa-7a6640ac3614;10196;2023-07-04 17:24:30,365662;4.405707120895386;4.265625;(-0.18346927650170528, -3);ExtraTreesClassifier(SelectFwe(SelectFwe(data, SelectFwe.alpha=0.047, SelectFwe.score_func=f_classif), SelectFwe.alpha=0.034, SelectFwe.score_func=f_classif), ExtraTreesClassifier.bootstrap=False, ExtraTreesClassifier.criterion='entropy', ExtraTreesClassifier.max_features=1.0, min_samples_leaf=6, min_samples_split=3, ExtraTreesClassifier.n_estimators=100);None;;;unknown
92eea4e7-f475-4051-9d00-ee5c99a8f830;10196;2023-07-04 17:24:34,858389;0.16403698921203613;0.15625;(-2.129688571736131, -1);DecisionTreeClassifier(data, DecisionTreeClassifier.criterion='gini', DecisionTreeClassifier.max_depth=1, min_samples_leaf=12, min_samples_split=11);None;;;unknown
2abad842-f759-4e3d-a7f2-70d44e47bb80;8640;2023-07-04 17:24:33,329355;5.717154026031494;8.9375;(-0.2381850362424204, -3);ExtraTreesClassifier(StandardScaler(RBFSampler(data, RBFSampler.gamma=0.15000000000000002)), ExtraTreesClassifier.bootstrap=False, ExtraTreesClassifier.criterion='gini', ExtraTreesClassifier.max_features=0.6500000000000001, min_samples_leaf=19, min_samples_split=9, ExtraTreesClassifier.n_estimators=100);None;;;unknown
4af531e4-ecce-4b43-83ba-28347b201cf8;18692;2023-07-04 17:23:09,957195;89.24535012245178;84.90625;(-0.11345804644026072, -2);ExtraTreesClassifier(PolynomialFeatures(data, PolynomialFeatures.degree=2, PolynomialFeatures.include_bias=False, PolynomialFeatures.interaction_only=False), ExtraTreesClassifier.bootstrap=False, ExtraTreesClassifier.criterion='entropy', ExtraTreesClassifier.max_features=1.0, min_samples_leaf=2, min_samples_split=5, ExtraTreesClassifier.n_estimators=100);None;;;unknown
9e10ac31-f283-4896-8131-1fc9ff60e24c;18692;2023-07-04 17:24:39,296566;0.0200045108795166;0.015625;(-inf, -1);MultinomialNB(data, alpha=100.0, fit_prior=True);<class 'ValueError'> Negative values in data passed to MultinomialNB (input X);;;unknown
